Text,start,end ,label
zest of 1/2,0,4,INGREDIENT
whipped sweet cream 650 gms,14,19,INGREDIENT
water cool approx 72 f,0,5,INGREDIENT
water 175 ml,0,5,INGREDIENT
vegetable oil cooking spray,0,13,INGREDIENT
vegetable oil,0,13,INGREDIENT
vanilla extract 3 ml,0,15,INGREDIENT
vanilla extract,0,15,INGREDIENT
tsp cardamom powder,4,12,INGREDIENT
tsp 4 g salt,8,12,INGREDIENT
tsp 25 ml vanilla extract,10,25,INGREDIENT
tsp 25 ml salt,10,14,INGREDIENT
tsp 25 ml lemon extract,10,23,INGREDIENT
tsp 2 g salt,8,12,INGREDIENT
tin 200 gm nestl milkmaid,17,25,INGREDIENT
teaspoon vanilla extract,9,24,INGREDIENT
teaspoon salt,9,13,INGREDIENT
teaspoon ground nutmeg,16,22,INGREDIENT
teaspoon cream of tartar optional,9,24,INGREDIENT
teaspoon cream of tartar,9,24,INGREDIENT
teaspoon baking soda,9,20,INGREDIENT
teaspoon baking powder,9,22,INGREDIENT
tbsp rum extract,5,16,INGREDIENT
sugar 3 tbsp,0,5,INGREDIENT
sugar,0,5,INGREDIENT
sponge biscuit,0,14,INGREDIENT
salt,0,4,INGREDIENT
rum buttercream frosting,4,15,INGREDIENT
red yellow green and blue food coloring,26,39,INGREDIENT
rasmalai 1 kgs,0,8,INGREDIENT
rainbow nonpareil sprinkles for garnish,18,27,INGREDIENT
powdered sugar for dusting,0,14,INGREDIENT
pista chopped for side garnish 300 gms,0,5,INGREDIENT
pinch salt,6,10,INGREDIENT
pinch of salt,9,13,INGREDIENT
pina colada filling,0,11,INGREDIENT
orange juice,0,6,INGREDIENT
orange food coloring,0,6,INGREDIENT
orange flavored gelatin powder,0,6,INGREDIENT
orange,0,6,INGREDIENT
nutella,0,7,INGREDIENT
nonstick cooking spray,9,22,INGREDIENT
melted butter or margarine for greasing,7,13,INGREDIENT
lemon zest of 1/2 a lemon,0,10,INGREDIENT
lemon buttercream,0,5,INGREDIENT
